word,freq,p
的,80456,0.0437737146612782
在,19006,0.01034059884722399
和,17600,0.009575636099712839
了,13486,0.007337331161404963
发展,13461,0.007323729405581508
是,12156,0.006613717751597118
年,10918,0.00594015880321959
中国,10464,0.005693150917465634
为,10120,0.005505990757334883
等,9687,0.005270408346472629
与,8493,0.004620788488344384
新,7706,0.004192605215021997
月,6616,0.0035995686611193264
有,6527,0.0035511464103878242
中,5795,0.0031528869998770402
将,5155,0.0028046820507965733
建设,5151,0.00280250576986482
对,5092,0.0027704056261214647
从,5089,0.0027687734154226503
上,4937,0.002686074740016039
我们,4936,0.002685530669783101
以,4882,0.0026561508772044366
要,4862,0.002645269472545672
推动,4815,0.0026196981715975753
更,4712,0.0025636589376049376
也,4595,0.002500002720351165
到,4533,0.0024662703659089945
创新,4296,0.002337325720702634
经济,4226,0.002299240804396958
人,4175,0.0022714932225171083
习近平,4137,0.0022508185536654554
工作,3964,0.002156694403367142
让,3942,0.0021447248582425007
国家,3874,0.002107728082402701
日,3759,0.002045160005614805
服务,3758,0.0020446159353818666
版,3546,0.0019292730459989618
推进,3536,0.0019238323436695797
企业,3477,0.0018917321999262241
权,3468,0.00188683556782978
实现,3400,0.0018498387919899805
文化,3271,0.0017796537319409488
用,3187,0.0017339518323741376
产业,3108,0.0016909702839720173
重要,3095,0.0016838973709438203
持续,3091,0.0016817210900120674
全球,3059,0.0016643108425580442
问题,3011,0.001638195471377009
就,2993,0.001628402207184121
多,2967,0.001614256381127727
说,2935,0.0015968461336737037
提升,2910,0.001583244377850248
把,2809,0.0015282932843234866
不,2796,0.0015212203712952899
坚持,2700,0.0014689896289332197
我,2679,0.001457564154041517
个,2651,0.0014423301875192466
技术,2624,0.0014276402912299143
领域,2585,0.0014064215521453233
我国,2560,0.0013928197963218676
好,2559,0.0013922757260889293
大,2558,0.001391731655855991
合作,2553,0.0013890113046913
都,2534,0.0013786739702654736
科技,2529,0.0013759536191007824
人民,2524,0.0013732332679360912
通过,2518,0.001369968846538462
总书记,2511,0.0013661603549078942
现代化,2482,0.0013503823181526856
着,2438,0.0013264432279034037
不断,2408,0.0013101211209152568
治理,2405,0.001308488910216442
党,2401,0.001306312629284689
世界,2393,0.0013019600674211832
向,2388,0.001299239716256492
政策,2386,0.0012981515757906157
国际,2384,0.0012970634353247391
提供,2353,0.0012801972581036542
时代,2350,0.0012785650474048393
能,2335,0.001270403993910766
社会,2269,0.0012344953585368427
消费,2264,0.0012317750073721516
增长,2241,0.0012192613920145724
全面,2237,0.0012170851110828195
所,2230,0.0012132766194522518
群众,2201,0.0011974985826970431
使,2193,0.0011931460208335373
这,2168,0.0011795442650100816
市场,2148,0.001168662860351317
一个,2098,0.0011414593487044055
成为,2078,0.001130577944045641
体系,2050,0.0011153439775233706
高质量,2045,0.0011126236263586794
下,2037,0.0011082710644951736
全国,1965,0.001069098007723621
加强,1963,0.0010680098672577445
制度,1948,0.0010598488137636712
未,1905,0.0010364537937473273
生态,1902,0.0010348215830485125
后,1888,0.0010272045997873774
思想,1883,0.0010244842486226862
经,1881,0.0010233961081568097
还,1868,0.0010163231951286127
绿色,1862,0.0010130587737309834
历史,1856,0.001009794352333354
开展,1835,0.0009983688774416511
五,1808,0.000983678981152319
网,1807,0.0009831349109193808
保障,1806,0.0009825908406864425
可,1783,0.0009700772253288633
表示,1779,0.0009679009443971104
书,1775,0.0009657246634653575
人民日报,1767,0.0009613721016018515
cn,1765,0.0009602839611359751
并,1759,0.0009570195397383457
安全,1757,0.0009559313992724693
第,1751,0.0009526669778748399
项目,1750,0.0009521229076419016
北京,1743,0.0009483144160113341
记者,1743,0.0009483144160113341
面,1719,0.0009352567304208166
民,1713,0.0009319923090231872
十五,1707,0.0009287278876255578
止,1699,0.000924375325762052
www,1695,0.000922199044830299
by,1691,0.0009200227638985461
com,1691,0.0009200227638985461
授,1689,0.0009189346234326697
禁,1689,0.0009189346234326697
