x,y,f_xy,p_d1
中,国,3543,0.002173817009151751
经,济,3474,0.0021314818768820728
发,展,3318,0.002035767664794104
１,９,3015,0.0018498612143924725
０,０,2685,0.0016473888426679231
企,业,2610,0.0016013723945487075
工,作,2607,0.0015995317366239389
国,家,2337,0.0014338725233947623
９,９,2212,0.0013571784431960694
记,者,2158,0.001324046600550234
人,民,2149,0.0013185246267759282
社,会,2072,0.0012712810733735334
一,个,2032,0.0012467389677099515
我,们,2027,0.0012436712045020039
市,场,1973,0.0012105393618561686
１,月,1943,0.0011921327826084822
建,设,1824,0.0011191200182593267
问,题,1714,0.0010516292276844768
政,府,1626,0.0009976365952245971
全,国,1614,0.0009902739635255227
公,司,1612,0.0009890468582423434
北,京,1607,0.0009859790950343958
本,报,1467,0.0009000817252118597
１,０,1433,0.0008792209353978153
领,导,1408,0.0008638821193580767
他,们,1354,0.0008307502767122413
的,一,1346,0.000825841855579525
进,行,1332,0.0008172521185972714
改,革,1291,0.0007920964602921002
中,央,1287,0.0007896422497257419
世,界,1280,0.0007853473812346152
管,理,1263,0.0007749169863275929
美,国,1231,0.0007552833017967275
新,华,1219,0.000747920670097653
地,区,1219,0.000747920670097653
主,义,1204,0.0007387173804738099
２,０,1197,0.0007344225119826831
生,产,1196,0.0007338089593410935
我,国,1193,0.0007319683014163249
华,社,1178,0.0007227650117924818
日,电,1125,0.000690246721788236
技,术,1121,0.0006877925112218778
关,系,1089,0.0006681588266910125
国,际,1062,0.0006515929053680947
活,动,1060,0.0006503658000849157
０,多,1038,0.0006368676419699458
重,要,1036,0.0006356405366867667
群,众,1024,0.0006282779049876921
部,门,1010,0.0006196881680054385
干,部,1007,0.0006178475100806699
文,化,985,0.0006043493519657
９,７,983,0.0006031222466825209
研,究,973,0.0005969867202666254
职,工,971,0.0005957596149834464
方,面,969,0.0005945325097002673
组,织,947,0.0005810343515852974
没,有,946,0.0005804207989437077
提,高,944,0.0005791936936605287
自,己,933,0.0005724446146030437
金,融,926,0.0005681497461119169
月,１,921,0.0005650819829039692
去,年,917,0.000562627772337611
精,神,916,0.0005620142196960215
产,品,916,0.0005620142196960215
一,些,910,0.0005583329038464842
会,议,905,0.0005552651406385365
第,一,883,0.0005417669825235666
同,志,878,0.0005386992193156188
会,主,878,0.0005386992193156188
国,的,874,0.0005362450087492606
增,长,871,0.000534404350824492
今,天,866,0.0005313365876165443
７,年,861,0.0005282688244085967
服,务,853,0.0005233604032758803
１,２,850,0.0005215197453511117
加,强,850,0.0005215197453511117
工,程,848,0.0005202926400679326
生,活,821,0.0005037267187450149
新,的,819,0.0005024996134618358
合,作,818,0.0005018860608202463
了,一,818,0.0005018860608202463
民,族,809,0.0004963640870459403
人,员,805,0.0004939098764795822
有,关,797,0.0004890014553468659
农,业,795,0.00048777435006368676
是,一,776,0.00047611684987348545
教,育,776,0.00047611684987348545
科,技,767,0.00047059487609917955
５,０,767,0.00047059487609917955
政,治,754,0.0004626186917585155
主,要,754,0.0004626186917585155
报,道,753,0.00046200513911692597
同,时,750,0.00046016448119215735
电,记,749,0.0004595509285505678
历,史,740,0.0004540289547762619
月,２,739,0.00045341540213467233
通,过,738,0.00045280184949308283
３,０,735,0.00045096119156831416
银,行,725,0.00044482566515241875
年,的,722,0.00044298500722765013
解,决,720,0.000441757901944471
大,的,720,0.000441757901944471
这,一,719,0.00044114434930288146
要,求,713,0.00043746303345334423
业,的,711,0.00043623592817016517
委,员,707,0.000433781717603807
可,以,706,0.00043316816496221744
表,示,704,0.0004319410596790383
目,前,704,0.0004319410596790383
产,业,702,0.00043071395439585927
代,表,697,0.00042764619118791154
积,极,695,0.0004264190859047325
实,现,693,0.00042519198062155336
政,策,687,0.00042151066477201613
９,８,675,0.0004141480330729416
艺,术,675,0.0004141480330729416
投,资,675,0.0004141480330729416
主,席,673,0.0004129209277897625
成,为,671,0.00041169382250658343
农,村,670,0.0004110802698649939
国,人,664,0.00040739895401545664
一,步,662,0.00040617184873227753
举,行,662,0.00040617184873227753
经,营,662,0.00040617184873227753
认,为,661,0.000405558296090688
联,合,656,0.0004024905328827403
文,明,653,0.0004006498749579716
这,些,652,0.0004000363223163821
美,元,647,0.0003969685591084344
人,的,643,0.0003945143485420762
就,是,638,0.0003914465853341285
１,１,638,0.0003914465853341285
集,团,636,0.00039021948005094943
