x,y,f_xy,pmi
蜿,蜒,6,18.116826768900644
璀,璨,7,17.894434347564196
澎,湃,5,17.894434347564196
胳,膊,9,17.531864268179486
癫,痫,7,17.531864268179486
茸,尕,7,17.339219190237092
尴,尬,11,17.242357650984502
遐,迩,6,17.116826768900644
珊,瑚,6,17.019965229648054
貂,蝉,8,16.894434347564193
鞠,躬,5,16.853792363066848
磅,礴,8,16.79489867401328
葫,芦,15,16.79489867401328
肺,腑,5,16.79489867401328
崩,溃,9,16.742431254119143
荟,萃,10,16.7017892696218
秸,秆,6,16.7017892696218
祈,祷,9,16.54978617617675
猖,獗,17,16.531864268179486
脂,肪,7,16.531864268179486
狐,狸,9,16.46232333492641
邯,郸,11,16.379861174734437
骆,驼,16,16.379861174734437
咄,咄,5,16.379861174734437
汩,汩,5,16.379861174734437
皑,皑,5,16.379861174734437
蒲,圻,5,16.379861174734437
瘫,痪,14,16.30947184684304
沐,浴,7,16.280325501183523
喇,叭,10,16.268829862345694
钥,匙,22,16.242357650984502
镶,嵌,6,16.242357650984502
凛,冽,11,16.18394096475918
徘,徊,23,16.178227313564786
栩,栩,6,16.116826768900644
橄,榄,24,16.116826768900644
胚,胎,6,16.116826768900644
迢,迢,5,16.104854127234567
淅,淅,5,16.104854127234567
茉,莉,7,16.057933079847075
疲,惫,5,15.94690176745833
毋,庸,6,15.94690176745833
喧,嚣,6,15.920429556097139
酝,酿,9,15.894434347564195
潍,坊,6,15.843808274494227
臃,肿,5,15.843808274494227
寂,寞,10,15.747592959234924
诙,谐,5,15.747592959234924
咽,喉,7,15.721241632287972
愚,昧,7,15.67625417751466
奢,侈,23,15.674604440295568
翅,膀,9,15.672041926227747
奴,隶,6,15.657395150263346
肿,瘤,14,15.651163196551831
侮,辱,7,15.638779472095997
绸,缪,5,15.6313999417304
忏,悔,6,15.61432642837146
玻,璃,28,15.602253596070884
杉,矶,9,15.572506252676833
乒,乓,29,15.561179835004042
萝,卜,19,15.540325846927683
戊,寅,10,15.531864268179486
叮,嘱,7,15.514790754820545
滔,滔,7,15.509144191679402
汝,岱,11,15.49588497107392
柬,埔,13,15.495338392154373
坍,塌,8,15.444401426929147
衬,衫,7,15.432328594628572
缕,缕,5,15.409007520393953
熠,熠,10,15.379861174734437
乙,烯,12,15.376858686572913
墓,葬,5,15.32327764636807
脊,椎,14,15.280325501183523
慷,慨,14,15.2755245149197
肪,酸,6,15.269943482656402
柑,桔,9,15.2643839573145
巾,帼,25,15.252888318476671
葡,萄,40,15.242357650984502
坎,坷,12,15.209936173292125
兢,兢,8,15.205934242734628
辣,椒,7,15.18721609679204
橡,胶,7,15.18721609679204
灌,溉,24,15.178227313564786
淋,漓,12,15.119333624511217
摔,跤,6,15.116826768900642
塘,沽,10,15.081202859169922
饥,饿,5,15.075350132924484
襄,樊,23,15.060444299003123
斑,斓,13,15.029363927650303
镀,膜,6,15.001349551480706
牺,牲,38,14.9738688150586
荆,棘,6,14.955834892228339
翩,翩,9,14.952851033789516
冉,冉,6,14.94690176745833
芭,蕾,27,14.93507633206154
菊,苣,5,14.920429556097139
潇,洒,14,14.874333141507686
葱,葱,5,14.848791682008482
巍,巍,5,14.848791682008482
椰,枣,6,14.827320151705658
腺,癌,8,14.825272323056799
粗,犷,6,14.771051932058912
咖,啡,60,14.724509346121883
庸,讳,6,14.724509346121883
眉,睫,7,14.724509346121883
琳,琅,13,14.694869855682008
欺,诈,19,14.691150749175451
怒,吼,6,14.624973672570967
帐,篷,52,14.590051682248443
甸,甸,9,14.584001891514662
羽,绒,9,14.579392638262073
霓,虹,11,14.576258387537939
淘,汰,40,14.569418070889261
龚,雯,8,14.531864268179486
爸,爸,16,14.52686358712112
锻,炼,39,14.515516274092002
乳,腺,8,14.497218125372594
萌,芽,6,14.472970579125917
芙,蓉,9,14.453861756178213
ｅ,ｒ,15,14.428770775215384
烦,恼,5,14.394360744429552
稚,嫩,10,14.361939266737174
眉,梢,6,14.350113831340385
胎,漆,7,14.33921919023709
荔,枝,6,14.335467055375982
闪,烁,17,14.333924890567577
骄,傲,20,14.316358232428279
姊,妹,10,14.316358232428279
