x,y,f_inword,f_inword,p_sameword_given_xy
经,济,3474,3474,1.0
发,展,3318,3318,1.0
企,业,2610,2610,1.0
记,者,2158,2158,1.0
社,会,2072,2072,1.0
我,们,2027,2027,1.0
市,场,1973,1973,1.0
１,月,1943,1943,1.0
问,题,1714,1714,1.0
政,府,1626,1626,1.0
全,国,1614,1614,1.0
公,司,1612,1612,1.0
北,京,1607,1607,1.0
本,报,1467,1467,1.0
领,导,1408,1408,1.0
他,们,1354,1354,1.0
改,革,1291,1291,1.0
中,央,1287,1287,1.0
世,界,1280,1280,1.0
管,理,1263,1263,1.0
新,华,1219,1219,1.0
地,区,1219,1219,1.0
主,义,1204,1204,1.0
我,国,1193,1193,1.0
技,术,1121,1121,1.0
国,际,1062,1062,1.0
活,动,1060,1060,1.0
群,众,1024,1024,1.0
干,部,1007,1007,1.0
文,化,985,985,1.0
研,究,973,973,1.0
方,面,969,969,1.0
组,织,947,947,1.0
自,己,933,933,1.0
金,融,926,926,1.0
去,年,917,917,1.0
精,神,916,916,1.0
一,些,910,910,1.0
同,志,878,878,1.0
今,天,866,866,1.0
服,务,853,853,1.0
工,程,848,848,1.0
生,活,821,821,1.0
民,族,809,809,1.0
人,员,805,805,1.0
农,业,795,795,1.0
教,育,776,776,1.0
科,技,767,767,1.0
政,治,754,754,1.0
报,道,753,753,1.0
历,史,740,740,1.0
银,行,725,725,1.0
解,决,720,720,1.0
委,员,707,707,1.0
表,示,704,704,1.0
产,业,702,702,1.0
积,极,695,695,1.0
政,策,687,687,1.0
艺,术,675,675,1.0
投,资,675,675,1.0
主,席,673,673,1.0
农,村,670,670,1.0
举,行,662,662,1.0
经,营,662,662,1.0
联,合,656,656,1.0
文,明,653,653,1.0
这,些,652,652,1.0
美,元,647,647,1.0
集,团,636,636,1.0
农,民,636,636,1.0
０,万,632,632,1.0
图,片,627,627,1.0
单,位,625,625,1.0
情,况,615,615,1.0
建,立,611,611,1.0
基,础,606,606,1.0
理,论,598,598,1.0
国,务,591,591,1.0
制,度,570,570,1.0
继,续,567,567,1.0
香,港,561,561,1.0
稳,定,559,559,1.0
困,难,554,554,1.0
参,加,553,553,1.0
影,响,552,552,1.0
开,始,552,552,1.0
体,育,544,544,1.0
坚,持,541,541,1.0
十,五,538,538,1.0
努,力,531,531,1.0
价,格,530,530,1.0
需,要,529,529,1.0
特,别,528,528,1.0
开,展,525,525,1.0
贫,困,522,522,1.0
结,构,522,522,1.0
计,划,522,522,1.0
提,供,515,515,1.0
许,多,514,514,1.0
希,望,508,508,1.0
世,纪,507,507,1.0
事,业,503,503,1.0
总,理,494,494,1.0
务,院,489,489,1.0
这,种,489,489,1.0
电,视,486,486,1.0
这,样,486,486,1.0
由,于,486,486,1.0
总,统,476,476,1.0
实,际,470,470,1.0
时,间,466,466,1.0
９,６,464,464,1.0
支,持,460,460,1.0
增,加,459,459,1.0
部,长,457,457,1.0
促,进,456,456,1.0
全,面,456,456,1.0
泽,民,451,451,1.0
形,成,449,449,1.0
自,治,446,446,1.0
规,定,445,445,1.0
学,习,441,441,1.0
环,境,437,437,1.0
调,整,437,437,1.0
采,取,430,430,1.0
措,施,429,429,1.0
质,量,427,427,1.0
传,统,426,426,1.0
新,闻,426,426,1.0
拉,克,422,422,1.0
信,息,412,412,1.0
什,么,411,411,1.0
任,务,407,407,1.0
根,据,407,407,1.0
重,点,401,401,1.0
０,％,394,394,1.0
广,大,391,391,1.0
伊,拉,390,390,1.0
可,能,387,387,1.0
出,口,387,387,1.0
规,模,383,383,1.0
进,入,382,382,1.0
解,放,379,379,1.0
出,版,379,379,1.0
战,略,378,378,1.0
电,话,372,372,1.0
形,式,371,371,1.0
一,定,369,369,1.0
保,持,366,366,1.0
劳,动,361,361,1.0
而,且,357,357,1.0
能,力,356,356,1.0
２,月,352,352,1.0
系,统,351,351,1.0
完,成,349,349,1.0
保,护,348,348,1.0
专,家,348,348,1.0
竞,争,346,346,1.0
严,重,346,346,1.0
成,功,345,345,1.0
孩,子,342,342,1.0
