word,freq_2026,p_2026,freq_1998,p_1998,logratio_2026_vs_1998,delta_p
１月,0.0,0.0,1781.0,0.0019122511845542,-14.463792259583355,-0.0019122511845542
１９９７年,0.0,0.0,753.0,0.000808492499702,-13.602927918018926,-0.000808492499702
讯,0.0,0.0,700.0,0.0007515866531094,-13.529943118910996,-0.0007515866531094
１,0.0,0.0,599.0,0.0006431434360179,-13.37412460632725,-0.0006431434360179
３,0.0,0.0,478.0,0.0005132263145518,-13.14847413429753,-0.0005132263145518
泽民,0.0,0.0,451.0,0.0004842365436462,-13.090330857956882,-0.0004842365436462
５,0.0,0.0,386.0,0.0004144463544289,-12.934701235669344,-0.0004144463544289
４,0.0,0.0,338.0,0.00036290898393,-12.80191010434105,-0.00036290898393
１９９６年,0.0,0.0,327.0,0.0003510983365239,-12.768824472447816,-0.0003510983365239
１０,0.0,0.0,321.0,0.0003446561652116,-12.75030547791809,-0.0003446561652116
１９９８年,0.0,0.0,315.0,0.0003382139938992,-12.731437048879014,-0.0003382139938992
有的,0.0,0.0,295.0,0.0003167400895247,-12.66583996684753,-0.0003167400895247
２０,0.0,0.0,290.0,0.000311371613431,-12.6487455879217,-0.000311371613431
２,0.0,0.0,279.0,0.000299560966025,-12.610076573384228,-0.000299560966025
１２月,0.0,0.0,246.0,0.000264129023807,-12.48419677530349,-0.000264129023807
邓小平理论,0.0,0.0,239.0,0.0002566131572759,-12.455328902190049,-0.0002566131572759
６,0.0,0.0,213.0,0.000228697081589,-12.340157991646,-0.000228697081589
其琛,0.0,0.0,205.0,0.0002201075198392,-12.301875975712223,-0.0002201075198392
恩来,0.0,0.0,204.0,0.0002190338246204,-12.296986012688356,-0.0002190338246204
１００,0.0,0.0,198.0,0.0002125916533081,-12.267133187886971,-0.0002125916533081
小平,0.0,0.0,176.0,0.000188970358496,-12.14935074020887,-0.000188970358496
７,0.0,0.0,174.0,0.0001868229680586,-12.137922105210908,-0.0001868229680586
５０,0.0,0.0,173.0,0.0001857492728399,-12.132158431434377,-0.0001857492728399
１９９５年,0.0,0.0,169.0,0.000181454491965,-12.108765679281552,-0.000181454491965
８,0.0,0.0,165.0,0.00017715971109,-12.084812571858386,-0.00017715971109
３０,0.0,0.0,155.0,0.0001664227589028,-12.022292579044674,-0.0001664227589028
股市,0.0,0.0,155.0,0.0001664227589028,-12.022292579044674,-0.0001664227589028
以色列,0.0,0.0,150.0,0.0001610542828091,-11.989502956513196,-0.0001610542828091
股票,0.0,0.0,150.0,0.0001610542828091,-11.989502956513196,-0.0001610542828091
克林顿,0.0,0.0,147.0,0.0001578331971529,-11.969300375910823,-0.0001578331971529
１日,0.0,0.0,143.0,0.000153538416278,-11.941712596616163,-0.000153538416278
１１月,0.0,0.0,142.0,0.0001524647210593,-11.93469506982379,-0.0001524647210593
灾民,0.0,0.0,137.0,0.0001470962449657,-11.898849177425015,-0.0001470962449657
１２日,0.0,0.0,136.0,0.0001460225497469,-11.891523187319388,-0.0001460225497469
８日,0.0,0.0,136.0,0.0001460225497469,-11.891523187319388,-0.0001460225497469
