w1,w2,f,pmi
保暖,简易房,7,13.270314686464014
鲜,果品,5,13.036426626289737
保温,简易房,6,12.669410641873837
神奇,旅游年,12,12.43439061220964
热门,话题,9,12.080343742819943
凛冽,寒风,6,11.6078559713572
偏,北风,25,11.597542385056526
自由,贸易区,6,11.44701822053739
高尚,情操,7,11.382789415722426
不良,债权,14,11.351928452017667
合法,权益,21,11.329208375517583
忠诚,共产主义,5,11.168216498845279
崇高,敬意,8,11.003528145769112
隐蔽,战线,9,10.768946315424751
鲜活,货,5,10.673856546905029
浓厚,兴趣,11,10.52003301783561
神圣,使命,5,10.43439061220964
穷,亲戚,5,10.351928452017667
敌对,状态,13,10.349874793249692
深厚,感情,12,10.255066912765077
神,眼,6,10.150036482780257
假,发票,10,10.143341830206248
宝贵,财富,8,10.022893470636044
白,骆驼,9,9.999066098785809
有利,时机,8,9.93022722245781
热烈,掌声,16,9.740493739935319
高级,将领,5,9.734095968737169
强烈,反响,21,9.72984649573581
丑恶,现象,9,9.719596399042054
直接,责任人员,5,9.631082523214737
优异,成绩,15,9.583253998124121
清醒,头脑,5,9.570763053940926
高级,工程师,9,9.517962537872403
低,涨势,5,9.468742117000415
恐怖,分子,9,9.45815877814259
强大,生命力,5,9.451464125568581
新鲜,空气,5,9.417516793645243
最高,时速,6,9.347482546986473
丰硕,成果,13,9.290570723012618
净,菜,5,9.282387518764589
广阔,空间,10,9.281539124126269
广阔,前景,16,9.2226454350727
伟大,旗帜,81,9.214794789841246
假,票据,5,9.143341830206248
忠诚,战士,8,9.091400901794447
欢快,气氛,6,9.08938888242295
精彩,节目,21,9.086563530154686
高级,院长,23,9.073233353656754
普通,科,5,9.06242183482268
伟大,军事家,6,9.05575810454167
薄弱,环节,12,9.052437746250058
旧,公房,8,9.018027715464228
深刻,印象,15,8.973416828763936
最低,限度,5,8.965900995782064
独特,魅力,8,8.95199784512903
干,果品,5,8.948963785039398
祥和,气氛,10,8.92823409060837
良好,风尚,6,8.877997263685254
假,种子,12,8.85888844073755
可观,经济效益,5,8.803644066549422
新鲜,蔬菜,11,8.794207981274605
强大,动力,7,8.740493739935319
深,层次,28,8.705530067680488
辉煌,业绩,7,8.705123731938924
欢乐,气氛,12,8.690839505932676
光荣,称号,6,8.5646439045359
薄弱,学校,20,8.524987704184111
基本,国策,5,8.521853453459979
友好,条约,9,8.464563650109
深远,意义,8,8.445037856409147
紧张,局势,5,8.410543870255271
强,冷空气,15,8.37075232630932
优秀,提案,5,8.348370632604476
陈旧,观念,7,8.334854938658724
最低,工资,9,8.262487961326885
重大,事项,7,8.239095955853294
单一,货币,12,8.199925358572616
隆重,仪式,6,8.123822379486825
精彩,文艺,8,8.1148217901962
宏伟,目标,12,8.07890995761125
客观,规律,12,8.038933481900312
坚实,基础,22,8.0374679074904
文明,使者,5,8.030712975095343
基本,纲领,18,8.00061655034921
民主,法制,14,7.941669675362071
重,伤员,5,7.939565087037147
文明,村镇,5,7.905182093011484
穷,朋友,8,7.896144610395513
显著,成效,10,7.877997263685254
小,黑板,7,7.857307404918069
正当,行为,8,7.84413381181897
满,街,5,7.843781548347341
基本,路线,45,7.80100752465705
最高,纪录,16,7.762520046265317
高级,官员,13,7.751860248213008
高,附加值,19,7.741874970333679
错误,做法,7,7.734261786223804
小,木屋,7,7.73177652283421
有利,条件,26,7.727215428957156
贫困,温饱,15,7.721480793049513
鲜活,商品,6,7.720953553539673
优秀,共产党员,9,7.718320242354783
普通,百姓,5,7.708784880207981
辉煌,成就,9,7.708151424636491
平均,年龄,12,7.685920024692923
长远,利益,16,7.6789793507226145
富强,社会主义,8,7.62098664547923
高雅,艺术,5,7.61817241432735
最低,纪录,7,7.608869099938786
正确,导向,9,7.602548687477763
最低,气温,6,7.563354440686417
全,剧,7,7.550766145375217
