w1,w2,f,pmi
廉洁,务实,6,10.680551199479037
友好,缔结,6,9.567657143073104
民主,测评,5,9.215234748688035
畅,下跌,5,8.877997263685254
极大,调动,10,8.526368934582472
低,并存,6,7.994810928668004
一致,前进,12,7.542031335397609
清醒,看到,13,7.540469131627326
团结,互助,5,7.4315645681308755
低,重复,6,7.409848427946847
紧密,团结,14,7.332028894579961
清醒,搞,7,7.132811162714079
一致,开拓,12,7.126993836118765
团结,奋斗,15,7.1234422727685445
团结,前进,12,6.9169913953011175
生动,体现,5,6.912223238224379
最新,表明,7,6.87080176228105
伟大,推向,8,6.8217027656796425
团结,开拓,13,6.61743111344221
清醒,认识,6,6.429683609532112
根本,在于,9,6.253795255529028
基本,动摇,6,6.160396994385978
完全,统计,13,6.07713938837882
有力,促进,12,5.9783919399652605
富,起来,8,5.9331388178777145
贫困,脱贫,10,5.894157454759313
富裕,起来,6,5.655604842348806
伟大,贯彻,13,5.56997100891135
有力,推动,6,5.463160152633816
平均,下降,7,5.461629320134062
伟大,总结,5,5.44480039528757
紧密,起来,7,5.392570436515012
友好,符合,5,5.376515655721096
长,达,40,5.343147110526702
根本,有利于,5,5.1427639431402845
最高,达到,8,5.011748652574081
容易,做,6,5.004767355389558
激动,说,20,4.993030386406912
困难,解困,6,4.9789648927293
长远,看,5,4.940025203462954
阴,有,8,4.927217823331299
高兴,看到,5,4.901429958150376
感慨,说,6,4.708576996938213
高,达,77,4.577512173529225
具体,制定,7,4.576827728964688
低,适应,5,4.569888840457316
具体,结合,10,4.538859878765669
连续,保持,7,4.483587651592647
平均,达到,7,4.411297644583917
全,参与,7,4.387019718862029
有效,利用,7,4.113675375771927
不同,存在,7,4.083210095044875
小,叫,6,4.083119346795664
合理,利用,5,4.062968413742229
友好,作出,5,3.958847900397579
贫困,送,13,3.9477694165943897
大,取决于,5,3.9399206186616555
深入,宣传,5,3.917320815337002
困难,慰问,6,3.9049643112855232
严重,造成,6,3.8492316794586485
广泛,开展,6,3.8311764069322605
全,形成,9,3.806421020843414
有效,促进,7,3.781831812019482
平均,达,8,3.7020070088605594
高兴,说,18,3.6959769601585792
必要,可以,5,3.6514887338765742
自豪,说,5,3.6490759851895507
早,开始,5,3.5705687384930065
伟大,坚持,6,3.5151897231789677
伟大,学习,5,3.4906040849006947
团结,促进,5,3.4641324305873065
重要,抓,11,3.423502296066903
困难,送,13,3.417557119987041
多,筹集,7,3.3445130192672794
先进,附,5,3.3302184276890325
著名,举行,5,3.2593148505083835
深入,开展,7,3.2245550250813313
清醒,到,6,3.221628019627932
基本,贯彻,5,3.0461200224935805
新,成立,25,3.024999676071937
友好,表示,5,3.0151161200443246
有趣,是,7,2.9857373207172677
贫困,去,8,2.9675710578098746
新,思考,6,2.931578303890098
重要,发表,10,2.85973401761487
重要,体现,6,2.809493640320729
伟大,建设,12,2.7619729740000127
先进,促进,5,2.7551037129242233
实际,结合,5,2.7404937399353186
贫困,开展,6,2.7209310902267494
正确,提高,5,2.7063278344124586
遗憾,是,11,2.6762881651115964
有效,提高,7,2.6755049109455586
近,参加,9,2.608520756734552
有效,解决,5,2.587376267186157
小,吃,5,2.541293349452506
积极,推进,5,2.5043026567293
新,争取,7,2.3976398061934088
多,安置,5,2.3531952623670804
小,想,5,2.3116759435419114
困难,过,10,2.2668904741048044
贫困,建立,5,2.2390417271277108
新,探索,8,2.2341410739105294
重要,受到,6,2.2168367478095723
成功,实现,5,2.2059680100141
低,没有,5,2.1910672601627783
困难,开展,6,2.1907187936194004
成功,解决,5,2.1505124054541347
好,买,6,2.1455471506415402
不同,研究,5,2.1238520795422215
好,发挥,9,2.1238520795422215
好,抓,6,2.1195519421085964
基本,坚持,5,2.1068159541811347
敏感,是,5,2.1043818172158866
小,让,6,2.063679465971977
好,发,5,2.056542144582796
贫困,解决,5,2.010254519682184
好,利用,8,1.8990008675963157
友好,发展,10,1.8420068621347312
显然,是,6,1.8413474113820927
根本,是,37,1.8092147904412839
大,抓,8,1.7648339121035646
小,成为,6,1.7149682351476563
平均,为,14,1.6515330786898508
高,出,19,1.641504645303952
重要,保持,5,1.5935078072913669
积极,表示,6,1.593307662788045
健康,发展,11,1.5528849123306108
重要,是,130,1.5283248697166225
小,可,5,1.522973166245717
新,作出,11,1.4998009491511464
好,起来,7,1.4350537678365254
好,服务,12,1.431051837279029
多,达,24,1.4128299622074738
好,看到,5,1.397085917637505
深,是,17,1.3640256338489065
好,用,12,1.3344498268981195
大,减少,6,1.3306028475914098
新,解决,19,1.3201809049772206
好,结合,6,1.2975502440865905
不同,进行,5,1.2604604151929735
快,到,5,1.258153895653046
崇高,是,6,1.2299126992997456
伟大,有,11,1.2100607102452732
新,拿,5,1.2055719217137584
好,继续,8,1.1947394385028152
先进,使,5,1.1668511422688823
好,学习,6,1.1653556317217209
好,保持,5,1.164026571249201
少,有,12,1.1605048857710405
努力,使,7,1.1220732763884458
老,要,9,1.0752806628064893
丰富,有,7,1.0716077326664737
难,到,6,1.0450392879046086
新,宣传,5,1.020016268557682
大,发挥,7,0.9915264708736377
新,取得,12,0.9561563266107638
新,促进,9,0.9512071106390306
新,附,6,0.9413593246826832
好,坚持,6,0.9269068641662
新,形成,9,0.9186392481826
好,促进,5,0.8890853987312329
好,使,15,0.8857953287970481
大,如,8,0.8821908627417232
新,包括,6,0.8695686416146731
新,扩大,5,0.8667700082619998
重要,加强,7,0.8576813328376287
不同,有,13,0.8246027568484124
新,提出,11,0.8084864672576564
有利,是,5,0.7940416966037361
最高,是,12,0.7824537223285243
重要,要,23,0.7753513027010099
强大,是,5,0.7709580834906948
多,吃,7,0.6983503621093856
老,说,6,0.6897179696868969
基本,是,36,0.6893443179370431
深,有,5,0.684361299435135
大,无,6,0.6652982385526499
小,来,7,0.6549609257833792
贫困,要,8,0.6525059492158651
具体,要,5,0.6485802460020652
多,参与,5,0.6387562372174821
优秀,要,5,0.6360893018188686
多,就业,6,0.6111586786534521
新,推动,5,0.5879784167526354
突出,是,13,0.5875908191363101
大,形成,7,0.5721888341611686
重要,来,11,0.5690791203525203
多,增加,9,0.5630367290352808
不同,是,23,0.5618545828151271
小,出,5,0.5610168699130843
新,坚持,8,0.5560691687978916
深刻,是,8,0.5559451925198443
稳定,发展,12,0.5514429381567042
好,能,13,0.5485286323453139
贫困,发展,8,0.5396013255121875
新,出,19,0.5337013557694371
努力,能,5,0.5058306302338961
新,成为,10,0.4986188966139917
好,实现,6,0.4985466914619088
