w1,w2,f,pmi
资质,证书费,5,15.106815954181135
评书,评话,7,14.914170876238739
会议费,接待费,6,14.884423532844687
铝排,铜排,5,14.884423532844687
农机,农机,5,14.84378154834734
肝胆,外科,5,14.691778454902291
甲方,乙方,8,14.691778454902291
尿样,阳性,5,14.621389127010893
归侨,侨眷,9,14.521853453459979
杆塔,拉线,7,14.45473925760144
短距离,全能,5,14.398996705674445
党报,党刊,6,14.36985036001493
七人制,橄榄球赛,6,14.36985036001493
参事,馆员,6,14.276740955623447
赃款,赃物,8,14.199925358572616
霓虹灯,哨兵,6,13.954812860736084
晶状体,蛋白,5,13.84378154834734
出发点,落脚点,6,13.784887859293772
刑法,分则,6,13.66203111150824
警灯,警报器,13,13.604315613651952
瓶,阳性,6,13.604315613651952
古典文学,名著,7,13.604315613651952
导弹,弹头,6,13.521853453459979
自治州,自治县,5,13.505911909590957
冷水性,鱼类,6,13.443850941458706
瓶,尿样,6,13.381923192315504
导线,边线,6,13.36985036001493
警长,公开栏,8,13.325456240656475
市价,总值,5,13.258819047626185
无辜,平民,7,13.241745534267244
华夏,城乡游,9,13.232346836264993
美人鱼,头部,5,13.232346836264993
肉类,禽蛋,6,13.199925358572616
杆塔,杆塔,5,13.094843312515058
建筑物,构筑物,7,13.039701758322598
大江,大河,7,13.007280280630221
支行,营业员,5,12.9693124304312
身份证,账户卡,10,12.9209494088698
播音员,主持人,8,12.910418741377631
卡通,方队,6,12.85888844073755
卖方,买方,6,12.85888844073755
思想性,艺术性,14,12.784887859293773
燃气,热水器,13,12.698731215544058
乒乓球,擂台赛,10,12.678316195095729
树木,竹子,5,12.673856546905029
警车,警灯,6,12.669410641873837
硕士,学位,8,12.6364960194011
破坏性,预案,10,12.621389127010893
光缆,干线,5,12.595854034903756
禽蛋,水产品,5,12.595854034903756
化学,核武器,5,12.570763053940926
书林,旅,6,12.562495437957324
机动车,驾驶员,5,12.554274931152356
彩虹,花园,9,12.495381242098787
