w1,w2,f,pmi
开除,党籍,5,14.36985036001493
扫除,文盲,5,14.258819047626185
荣立,三等功,5,14.232346836264993
荣立,二等功,9,14.080343742819943
披,绿装,5,13.884423532844687
娶,媳妇,5,13.84378154834734
抢占,制高点,5,13.84378154834734
淘,粪,12,13.66203111150824
擀,皮,8,13.521853453459979
配电,变压器,15,13.51120620926047
琢,玉,6,13.36985036001493
练,内功,8,13.232346836264993
摘掉,帽子,6,13.019353112930796
销毁,核武器,5,12.9693124304312
敲响,警钟,6,12.753178999566433
燃放,爆竹,5,12.691778454902291
结成,对子,10,12.583253998124121
务求,实效,5,12.521853453459979
拨,专款,9,12.469386033565844
责令,原状,7,12.45473925760144
渡过,难关,10,12.384349929710044
倾注,心血,9,12.36985036001493
划定,保护区,6,12.357877718348853
逝世,享年,8,12.351928452017667
填补,空白,7,12.329208375517583
骑,自行车,10,12.299461032123531
入网,许可证,6,12.299461032123531
保,夏粮,5,12.299461032123531
渡,难关,10,12.268872712290108
判处,死刑,5,12.199925358572616
得出,结论,9,12.196367539159427
扮演,角色,8,12.144883995014654
堵塞,漏洞,8,12.129536030681217
谋,私利,5,12.094843312515058
挖,砂,7,12.077068610787082
盘活,存量,9,11.94582407750883
干涉,内政,6,11.884423532844687
采,血,5,11.833797459774718
兴,领头人,6,11.768946315424751
采集,血液,9,11.755794947773445
弘扬,主旋律,10,11.746920009094753
继承,遗志,5,11.714498531402374
呈,阳性,6,11.714498531402374
砍,柴,6,11.691778454902291
领取,津贴,5,11.691778454902291
拉开,帷幕,13,11.6848590409625
记,一等功,7,11.647384335543837
开阔,视野,6,11.636496019401102
探明,储量,9,11.613775942901018
睁,眼睛,5,11.554274931152356
挥霍,公款,7,11.54493706657302
患,心脏病,8,11.531907118123902
签订,责任状,7,11.496318361352841
割,草,9,11.443850941458706
简化,手续,6,11.42499191420739
传来,喜讯,8,11.413328996681809
鼓舞,士气,5,11.369850360014928
兑换,泰币,5,11.351928452017667
含,热泪,5,11.344821565523405
收购,余粮,5,11.320219592290329
重建,家园,20,11.289192696669703
动,筷子,8,11.255066912765077
浇,根,6,11.221458520122258
掀起,热潮,5,11.20635162773205
没收,所得,5,11.155725554662082
停止,原状,5,11.155725554662082
侵吞,公款,8,11.15261964379426
兴修,水利,7,11.12409394561297
闯,红灯,5,11.106815954181135
揭,牌,6,11.012298355396846
在押,嫌疑人,8,11.003528145769112
搬,荧屏,7,10.997296192057599
调取,证据,5,10.977532937236168
吸取,营养,5,10.9693124304312
发放,救济金,5,10.9611384989855
扰乱,秩序,5,10.923594130125364
打破,僵局,9,10.884423532844687
拉开,序幕,9,10.878709881650293
颁发,证书,14,10.863415256628848
贴,对联,5,10.85888844073755
消灭,私有制,5,10.85888844073755
树,新风,35,10.855637906037128
扎,花灯,7,10.85527718718517
依托,图书站,5,10.756318707097002
扩建,定居点,5,10.746920009094753
销毁,化学,5,10.696293936024784
折合,人民币,7,10.669410641873837
升,国旗,9,10.66325841489224
生,炉子,5,10.634328182718392
迈,台阶,5,10.621389127010893
付出,代价,8,10.58849064649027
汲取,教训,5,10.570763053940926
扩建,犹太人,5,10.562495437957324
画,句号,5,10.554274931152356
响起,掌声,5,10.521853453459979
设置,公开栏,5,10.509880811793902
高举,旗帜,95,10.47843117316885
减轻,负担,53,10.471331677880812
捍卫,主权,6,10.469386033565844
掌握,主动权,5,10.464884641330903
松,气,6,10.43439061220964
陷入,困境,18,10.42499191420739
优先,计划生育户,5,10.406376236040042
立,功,8,10.392570436515012
获,殊荣,10,10.384349929710044
施加,压力,5,10.384349929710044
献,爱心,17,10.378361859870447
发射,探测器,6,10.360861576787673
指明,方向,12,10.347482546986473
奔,小康,24,10.311317389813318
犯,错误,12,10.31095667096136
延长,期限,7,10.306840562489128
创,佳绩,9,10.290899018620106
论,评论员,6,10.282387518764589
聘请,律师,7,10.25120586351631
放,鞭炮,5,10.23891949018848
履行,职责,14,10.164301448841895
销毁,生物,5,10.161957508373597
摆,议事日程,6,10.160396994385978
挪用,公款,5,10.15261964379426
办理,手续,14,10.106815954181135
伸出,手,14,10.100389685021701
设置,警长,5,10.06242183482268
行使,主权,10,10.036426626289737
担任,主席国,12,10.011712013165287
恢复,原状,7,9.983433538675852
兼,外交部长,24,9.968970923732744
开辟,专线,5,9.957068834676452
新增,储量,6,9.954812860736084
带有,性质,7,9.940712663691231
挖掘,潜力,5,9.936890952738823
奋进,号,16,9.936890952738823
登记,选民,7,9.91981743937988
调动,积极性,26,9.9048805578362
回到,怀抱,6,9.897362588552184
侵犯,权利,5,9.884423532844687
办案,期限,6,9.877997263685254
养,羊,7,9.872511724601525
唱,国歌,5,9.799387428988886
享有,权利,6,9.768946315424751
缩短,周期,5,9.765779036346068
带有,色彩,5,9.76340813188332
征求,意见,8,9.740493739935319
坚守,岗位,9,9.737582144515416
留下,印象,20,9.735257091569173
付出,心血,6,9.725994170240204
履行,义务,19,9.714498531402375
掀起,高潮,5,9.714498531402374
赠送,礼品,5,9.70878488020798
包,饺子,26,9.703967863910204
编造,事故,5,9.703093768130126
喜庆,气氛,25,9.700823594505298
洋溢,气氛,10,9.700823594505298
迈出,步伐,16,9.690370260509482
抢救,伤员,5,9.682789671675037
贴,春联,5,9.678316195095729
兼,上将,9,9.669410641873837
挽回,损失,8,9.669410641873837
达成,共识,15,9.632884765848722
追究,责任,28,9.621657510425468
授予,称号,9,9.609038023894355
规避,风险,5,9.595854034903756
荣获,称号,8,9.591116115897092
适合,国情,8,9.583253998124121
赢得,声誉,5,9.554274931152356
推向,高潮,11,9.550832520431744
达成,协议,54,9.536023226596134
交换,意见,35,9.521853453459979
纳入,轨道,9,9.519628788345464
抓住,机遇,41,9.499786421218788
发行,生肖,5,9.49800671150561
换,泰币,5,9.492106110065926
率领,代表团,15,9.4729327211158
喜迎,佳节,9,9.464563650109
高举,邓小平理论,84,9.455308615137104
收看,电视,5,9.451464125568581
持,态度,17,9.446085945842015
援引,话,6,9.442269905639225
每逢,佳节,6,9.441480036995959
签署,联合公报,6,9.43439061220964
扣除,因素,6,9.431250904679072
抓住,时机,10,9.42499191420739
查获,文物,6,9.415654049628053
派出,医疗队,5,9.406376236040042
摆脱,困境,13,9.392570436515012
立案,理由,6,9.392570436515012
签订,合同,11,9.38758272181196
荣立,集体,6,9.374365841137422
刮,风,5,9.373461613567308
发,慰问电,14,9.36824110715327
营造,氛围,6,9.358623104591674
设置,障碍,9,9.357877718348853
反对,官僚主义,7,9.355750162970075
握,手,11,9.337428882322552
引起,反响,28,9.325456240656475
注入,活力,8,9.311317389813318
改,值,16,9.310776345351364
报效,祖国,6,9.30807416242824
交,学费,6,9.303761169557156
缩小,差距,5,9.299461032123531
